Country Name,Country Code,Population
Sub-Saharan Africa,SSF,1241897817
Small states,SST,20086203
Sao Tome and Principe,STP,231856
Suriname,SUR,623236
Slovak Republic,SVK,5426740
Slovenia,SVN,2120937
Sweden,SWE,10536632
Eswatini,SWZ,1210822
Sint Maarten (Dutch part),SXM,41163
Seychelles,SYC,119773
Syrian Arab Republic,SYR,23227014
Turks and Caicos Islands,TCA,46062
Chad,TCD,18278568
East Asia & Pacific (IDA & IBRD countries),TEA,2107522258
Europe & Central Asia (IDA & IBRD countries),TEC,457326090
Togo,TGO,9053799
Thailand,THA,71801279
Tajikistan,TJK,10143543
Turkmenistan,TKM,6516100
Latin America & the Caribbean (IDA & IBRD countries),TLA,648763330
Timor-Leste,TLS,1360596
Middle East & North Africa (IDA & IBRD countries),TMN,425691336
Tonga,TON,107773
South Asia (IDA & IBRD),TSA,1938549529
Sub-Saharan Africa (IDA & IBRD countries),TSS,1241897817
Trinidad and Tobago,TTO,1534937
Tunisia,TUN,12458223
Turkiye,TUR,85326000
Tuvalu,TUV,11396
Tanzania,TZA,67438106
Uganda,UGA,48582334
Ukraine,UKR,37000000
Upper middle income,UMC,2810588102
Uruguay,URY,3423108
United States,USA,334914895
Uzbekistan,UZB,36412350
St. Vincent and the Grenadines,VCT,103698
"Venezuela, RB",VEN,28838499
British Virgin Islands,VGB,31538
Virgin Islands (U.S.),VIR,104917
Viet Nam,VNM,98858950
Vanuatu,VUT,334506
World,WLD,8024997028
Samoa,WSM,225681
Kosovo,XKX,1756374
"Yemen, Rep.",YEM,34449825
South Africa,ZAF,60414495
Zambia,ZMB,20569737
Zimbabwe,ZWE,16665409
